"S.No","RMSE","std. RMSE","Meaning_Error","std. Meaning Error","Sentence_Error","std. Sentence Error","leak_rate","spectral_radius","input_scaling"
656,0.5218556314,0.0180225569,0.0791666667,0.0174007372,0.2108695652,0.0389488541,0.11,1.9,2.6
666,0.5237123314,0.0188685118,0.079076087,0.0180617396,0.2108695652,0.0435325748,0.11,2,2.5
586,0.5179444155,0.0161781067,0.0788949275,0.0199087939,0.2108695652,0.0275838642,0.09,2.4,2.2
585,0.5167771947,0.01531432,0.0786231884,0.0200457626,0.2108695652,0.0275838642,0.09,2.4,2.1
553,0.5138465097,0.0132256151,0.0785326087,0.0151137885,0.2108695652,0.03512064,0.09,2.1,2.2
577,0.5186003411,0.0165949069,0.0785326087,0.0183233149,0.2108695652,0.0446049664,0.09,2.3,2.4
535,0.5142434168,0.0139804395,0.0781702899,0.0176109414,0.2108695652,0.0377159817,0.09,1.9,2.6
556,0.5156054384,0.0147804718,0.0779891304,0.0157068978,0.2108695652,0.0389488541,0.09,2.1,2.5
633,0.5181761915,0.0152523121,0.0779891304,0.0177196232,0.2108695652,0.0308205367,0.11,1.7,2.5
543,0.5133184321,0.0129810214,0.0774456522,0.0170436743,0.2108695652,0.0364414231,0.09,2,2.3
536,0.514955742,0.0146655599,0.0763586957,0.0196874953,0.2108695652,0.0424330898,0.09,1.9,2.7
440,0.5112036902,0.0141683051,0.0762681159,0.0219897988,0.2108695652,0.0389488541,0.07,2.1,3
458,0.509881405,0.0129993773,0.0794384058,0.0168782354,0.2130434783,0.0333962859,0.07,2.3,2.6
658,0.5237136797,0.0193753929,0.0791666667,0.0184800369,0.2130434783,0.0361157559,0.11,1.9,2.8
659,0.5246501401,0.0200238341,0.0789855072,0.0182459106,0.2130434783,0.0386443236,0.11,1.9,2.9
564,0.5150616537,0.0141462649,0.0787137681,0.0152241294,0.2130434783,0.0347826087,0.09,2.2,2.2
605,0.5256047736,0.0201138616,0.0870471014,0.0223291387,0.2130434783,0.0493818117,0.09,2.5,3
604,0.5249627354,0.0199666493,0.0842391304,0.0183096527,0.2130434783,0.0410173093,0.09,2.5,2.9
583,0.5232861205,0.0189606833,0.0825181159,0.0151593203,0.2130434783,0.0304347826,0.09,2.3,3
599,0.5209158116,0.0183600021,0.0823369565,0.0221853732,0.2130434783,0.0432603234,0.09,2.5,2.4
671,0.5278878411,0.0212061571,0.0810688406,0.0154954856,0.2130434783,0.0374014142,0.11,2,3
476,0.5104180757,0.012370193,0.0808876812,0.0142877829,0.2130434783,0.0386443236,0.07,2.5,2.2
447,0.5095017412,0.0129338398,0.0807971014,0.018402623,0.2130434783,0.0386443236,0.07,2.2,2.6
572,0.5213197567,0.0181936517,0.0807971014,0.0151178595,0.2130434783,0.0319498662,0.09,2.2,3
571,0.5205170128,0.0177303571,0.0804347826,0.0161262414,0.2130434783,0.0386443236,0.09,2.2,2.9
581,0.5218816817,0.0183740841,0.0803442029,0.0160612411,0.2130434783,0.0410173093,0.09,2.3,2.8
459,0.5103897441,0.0133851625,0.0798007246,0.0180044121,0.2130434783,0.0386443236,0.07,2.3,2.7
563,0.5143063114,0.0134532945,0.0797101449,0.0149223028,0.2130434783,0.0386443236,0.09,2.2,2.1
448,0.5097639047,0.0132533446,0.0793478261,0.0211700886,0.2130434783,0.0374014142,0.07,2.2,2.7
734,0.5256446733,0.0199466264,0.079076087,0.0186297164,0.2130434783,0.0361157559,0.13,1.5,2.7
532,0.5128951708,0.0124883495,0.0788043478,0.0143047131,0.2130434783,0.0304347826,0.09,1.9,2.3
665,0.5230477459,0.0183822613,0.0788043478,0.0178329344,0.2130434783,0.0398484843,0.11,2,2.4
